# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
4.189398350000000448e+01 4.802071817684265673e-09 1.003614168298014241e-10 -7.619056999999999391e+01 2.427363999999999911e-01 7.027265999999999790e-01 3.447344000000000189e-03 1.705644030948522651e-05 2.983080118323586262e-09 3.481000000000000000e+03 1.910000000000000000e+02 5.657700999999999567e+02 4.229974000000000274e+02 0.000000000000000000e+00
4.608338870000000043e+01 4.268045997829040833e-09 9.952800791569215392e-11 -7.748633999999999844e+01 2.613572000000000117e-01 7.078077999999999870e-01 3.726291999999999972e-03 1.847921578519393668e-05 3.221471197636034868e-09 4.159000000000000000e+03 2.070000000000000000e+02 5.666414999999999509e+02 4.226102000000000203e+02 0.000000000000000000e+00
5.069172620000000506e+01 3.625855571399849375e-09 9.857375709728986163e-11 -7.882468000000000075e+01 2.782308000000000003e-01 6.931137000000000548e-01 3.960174000000000333e-03 2.055995910234084581e-05 3.576699761165947501e-09 5.283000000000000000e+03 2.350000000000000000e+02 5.647177000000000362e+02 4.213301999999999907e+02 0.000000000000000000e+00
5.576089745000000875e+01 2.769539462337517705e-09 9.734424811737811133e-11 -7.876561999999999841e+01 2.424171999999999993e-01 6.483411000000000035e-01 3.407687999999999863e-03 2.368253977938646241e-05 4.135629212739425023e-09 7.331000000000000000e+03 2.820000000000000000e+02 5.598115999999999985e+02 4.214041000000000281e+02 0.000000000000000000e+00
6.133698925000000202e+01 2.128533633155182973e-09 9.624050037448870296e-11 -7.639092999999999734e+01 2.057139000000000051e-01 6.484345000000000248e-01 2.893151000000000056e-03 2.544532611984211054e-05 4.498879931510275024e-09 8.857000000000000000e+03 3.100000000000000000e+02 5.607465999999999440e+02 4.221569999999999823e+02 0.000000000000000000e+00
6.747069160000000920e+01 1.726565955917933945e-09 9.558898283784301915e-11 -7.491057000000000698e+01 1.849574999999999969e-01 6.603031000000000317e-01 2.609810000000000168e-03 2.680563181293277750e-05 4.825012467257867018e-09 1.036100000000000000e+04 3.340000000000000000e+02 5.610085000000000264e+02 4.226397999999999797e+02 0.000000000000000000e+00
7.421776350000000377e+01 1.493033636332500413e-09 9.523095986397373039e-11 -7.404358999999999469e+01 1.672686999999999924e-01 6.800823999999999758e-01 2.370858999999999901e-03 2.788642966812264528e-05 5.115302854923340526e-09 1.180300000000000000e+04 3.540000000000000000e+02 5.624195999999999458e+02 4.233050000000000068e+02 0.000000000000000000e+00
8.163953300000000013e+01 1.126859358299764183e-09 9.465242313604626651e-11 -7.370131000000000654e+01 1.533342000000000038e-01 6.846221000000000112e-01 2.174725000000000182e-03 2.930269049947449789e-05 5.539482376676747540e-09 1.408100000000000000e+04 3.860000000000000000e+02 5.614274000000000342e+02 4.235951999999999771e+02 0.000000000000000000e+00
8.980349999999999966e+01 8.633398625782352555e-10 9.424576037138082339e-11 -7.461529000000000167e+01 1.646173999999999971e-01 6.863899999999999446e-01 2.341077000000000002e-03 3.063150936920726655e-05 6.022422166445055165e-09 1.692500000000000000e+04 4.220000000000000000e+02 5.610883999999999787e+02 4.241549999999999727e+02 0.000000000000000000e+00
9.878385000000001526e+01 6.331305029362374562e-10 9.389568551852343105e-11 -7.694804000000000599e+01 1.854436999999999891e-01 6.716906999999999739e-01 2.732439000000000135e-03 3.218647143689636351e-05 6.691245572192965345e-09 2.128900000000000000e+04 4.570000000000000000e+02 5.552644000000000233e+02 4.254087999999999852e+02 0.000000000000000000e+00
1.086622350000000097e+02 4.355098426848467427e-10 9.359610495990919140e-11 -7.747642999999999347e+01 2.536861000000000255e-01 6.670277999999999485e-01 3.774368000000000167e-03 3.329442925274592760e-05 7.300150166621315024e-09 2.569300000000000000e+04 4.980000000000000000e+02 5.542826999999999771e+02 4.259166999999999916e+02 0.000000000000000000e+00
1.195284585000000135e+02 2.913328810209755614e-10 9.336836480675930249e-11 -7.747642999999999347e+01 3.038090999999999986e-01 6.670277999999999485e-01 4.525541000000000112e-03 3.415713449693914448e-05 7.934564241683354542e-09 3.071700000000000000e+04 5.420000000000000000e+02 5.542826999999999771e+02 4.259166999999999916e+02 2.000000000000000000e+00
1.314812975000000108e+02 2.351395595736927028e-10 9.328138367637947696e-11 -7.854973999999999990e+01 3.186300000000000243e-01 6.760078999999999949e-01 4.787663999999999635e-03 3.475204252902772584e-05 8.481315776837488392e-09 3.539700000000000000e+04 5.730000000000000000e+02 5.490399999999999636e+02 4.243039999999999736e+02 0.000000000000000000e+00
1.446294615000000192e+02 1.379116697382063444e-10 9.312999245923485730e-11 -7.676761999999999375e+01 3.311643000000000225e-01 6.502033000000000396e-01 5.004256999999999803e-03 3.566871929780360257e-05 9.583963062844343713e-09 4.581200000000000000e+04 6.420000000000000000e+02 5.515401000000000522e+02 4.261549999999999727e+02 0.000000000000000000e+00
1.590923460000000205e+02 1.115086238062901642e-10 9.308863385744879690e-11 -7.902862000000000364e+01 4.439835999999999783e-01 6.538017999999999885e-01 6.715368000000000205e-03 3.608955258617159678e-05 1.021171655621261000e-08 5.232000000000000000e+04 6.680000000000000000e+02 5.309917000000000371e+02 4.232348000000000070e+02 0.000000000000000000e+00
1.750016080000000045e+02 9.712000865403396588e-11 9.306715318118628704e-11 -7.762623000000000673e+01 4.312629000000000046e-01 6.658944999999999448e-01 6.657620999999999852e-03 3.640274252149189831e-05 1.075220891432300588e-08 5.825900000000000000e+04 6.550000000000000000e+02 5.123393999999999551e+02 4.163904999999999745e+02 2.000000000000000000e+00
1.925017825000000187e+02 6.450739776381883153e-11 9.301608314154201504e-11 -8.093232999999999322e+01 6.013235000000000108e-01 6.531865000000000032e-01 9.668970000000000689e-03 3.688943777790929971e-05 1.177861612005174396e-08 7.039100000000000000e+04 7.370000000000000000e+02 4.927891999999999939e+02 4.205076999999999998e+02 0.000000000000000000e+00
2.117519950000000222e+02 6.265091332534801157e-11 9.301523309351493979e-11 -8.093232999999999322e+01 6.517368000000000272e+00 6.531865000000000032e-01 6.520378999999999758e-02 3.728271775446321130e-05 1.273326837846578721e-08 8.267400000000000000e+04 9.370000000000000000e+02 4.667307999999999879e+02 4.071621999999999844e+02 4.000000000000000000e+00
